source,target,edgeType,weight
U_02ef3a96-894b-5e3e-8f53-63a8d38b705b,C_k35,BELONGS_TO_COHORT,1.0
U_02f15c09-24b8-5482-8590-e8f3bd8677a3,C_k34,BELONGS_TO_COHORT,1.0
U_03083369-9459-5fd4-978e-1eb4415a68f0,C_k43,BELONGS_TO_COHORT,1.0
U_032b369d-4f64-5143-bcca-4cb8f3029d8e,C_k38,BELONGS_TO_COHORT,1.0
U_034a2cc0-2f06-56f4-8f4d-65fe883dde9e,C_k40,BELONGS_TO_COHORT,1.0
U_034e5eaa-333f-54a6-b3bc-af51c5c5ba5a,C_k34,BELONGS_TO_COHORT,1.0
U_03549545-bf2c-5920-a7f4-a69f6d1ba534,C_k37,BELONGS_TO_COHORT,1.0
U_038f56ee-9fb0-52d6-949b-d7c0372878ac,C_k30,BELONGS_TO_COHORT,1.0
U_039b3ddc-1351-534b-9466-ee229777a0ce,C_k33,BELONGS_TO_COHORT,1.0
U_03b2ef26-4072-5735-8208-380a6225fb84,C_k43,BELONGS_TO_COHORT,1.0
U_03cfd650-638d-524e-90ff-aa3c76fac67c,C_k45,BELONGS_TO_COHORT,1.0
U_03d60b93-b3b2-50c7-871a-846f31968bc6,C_k31,BELONGS_TO_COHORT,1.0
U_03debe28-16be-535a-9e38-a8606ecc5d83,C_k35,BELONGS_TO_COHORT,1.0
U_03f50aad-7872-5ba9-8152-75882b667e48,C_k38,BELONGS_TO_COHORT,1.0
U_03fe2a0a-2a10-5763-a5b6-b6935556476d,C_k44,BELONGS_TO_COHORT,1.0
U_03ff4db9-eb0a-5365-97bf-26c63bcdb40b,C_k37,BELONGS_TO_COHORT,1.0
U_041bf7e1-209c-5893-aaa9-6dc17723e371,C_k39,BELONGS_TO_COHORT,1.0
U_041ff5fb-fd29-5bd1-9f94-e391e905c9ee,C_k41,BELONGS_TO_COHORT,1.0
U_0432085c-15ba-524e-b4a7-1c3a6073edc3,C_k30,BELONGS_TO_COHORT,1.0
U_044c171d-0148-51ba-938f-b7c8e6ee83ff,C_k43,BELONGS_TO_COHORT,1.0
U_0466f57b-7296-5456-b3bb-58cc294ddb7d,C_k41,BELONGS_TO_COHORT,1.0
U_046cfd3b-1ac6-59d4-a0d6-c7cde3a7a21e,C_k39,BELONGS_TO_COHORT,1.0
U_047c1b5b-81eb-5483-a5f4-36cd2e01c024,C_k32,BELONGS_TO_COHORT,1.0
U_047df586-d044-5f53-9939-8cf5ec5f7368,C_k37,BELONGS_TO_COHORT,1.0
U_048ca391-a811-523f-8ffc-d2a24c07f9aa,C_k40,BELONGS_TO_COHORT,1.0
U_04c039b7-b328-5c6f-8f06-8fa1e5b76a08,C_k44,BELONGS_TO_COHORT,1.0
U_04cd631b-e9ef-5b2f-995f-237ea082c389,C_k38,BELONGS_TO_COHORT,1.0
U_04d0927a-83da-5856-994f-e1dd8d59eee2,C_k41,BELONGS_TO_COHORT,1.0
U_04e4f452-8e47-5cc2-86fe-4cd32be68593,C_k31,BELONGS_TO_COHORT,1.0
U_04f52696-b7fc-51a8-8a06-81d7a24023b4,C_k37,BELONGS_TO_COHORT,1.0
U_05117229-b460-558b-8bb6-2c325cc52ea5,C_k33,BELONGS_TO_COHORT,1.0
U_05122d6b-cbab-5289-8508-78e3f2e8157a,C_k32,BELONGS_TO_COHORT,1.0
U_05143975-339c-59fd-b25f-440271f2390d,C_k42,BELONGS_TO_COHORT,1.0
U_0514fdd1-e496-51ce-a90e-53c956e8ebab,C_k33,BELONGS_TO_COHORT,1.0
U_05201d98-4251-5ba7-a954-7412a451f6e3,C_k37,BELONGS_TO_COHORT,1.0
U_056b6fcb-5bd9-5a71-b15c-1d0a1115abfa,C_k42,BELONGS_TO_COHORT,1.0
U_057959f4-89ea-55f2-9c53-262bd7ff0e7a,C_k45,BELONGS_TO_COHORT,1.0
U_059ba32e-fc5a-5f85-b46e-8b9c24bf867d,C_k39,BELONGS_TO_COHORT,1.0
U_059f5c23-8432-56d0-985d-fdf4a7b4a5ce,C_k40,BELONGS_TO_COHORT,1.0
U_05a37810-bb3f-5ab9-bbfb-2c102d81a6cb,C_k41,BELONGS_TO_COHORT,1.0
U_05a64290-b2e6-519c-bfa8-a2b345f68162,C_k40,BELONGS_TO_COHORT,1.0
U_05abcadc-51b4-5661-9097-41b511f12dd7,C_k31,BELONGS_TO_COHORT,1.0
U_05bc2d78-efd2-5e04-83ea-d3717bf8b165,C_k44,BELONGS_TO_COHORT,1.0
U_05c0efe2-84bd-536c-84fa-b3a64be39224,C_k36,BELONGS_TO_COHORT,1.0
U_05c723c3-225e-5c85-bae6-f699068ab6d0,C_k39,BELONGS_TO_COHORT,1.0
U_05f3f28d-2a22-5364-888d-b4ff38f61a5d,C_k40,BELONGS_TO_COHORT,1.0
U_060a225b-acf9-589e-a05a-6873c033fab1,C_k35,BELONGS_TO_COHORT,1.0
U_0610a70f-3c5b-502a-b848-6f2df4ef7f26,C_k35,BELONGS_TO_COHORT,1.0
U_062a52c6-0d94-5b56-98dc-42d0e775b4ea,C_k37,BELONGS_TO_COHORT,1.0
U_06374cff-1521-4f8e-ac05-9b6a45d9d794,C_k41,BELONGS_TO_COHORT,1.0
U_0643efe8-3981-578c-b666-4ada36f4d916,C_k35,BELONGS_TO_COHORT,1.0
U_0647f0c6-ec17-5caa-9c59-93ceb2a81b7f,C_k44,BELONGS_TO_COHORT,1.0
U_066290fb-9a5f-5900-b1e9-0c1d368bc85b,C_k33,BELONGS_TO_COHORT,1.0
U_0666931b-2b08-5845-98a2-75389b62f532,C_k34,BELONGS_TO_COHORT,1.0
U_068424c1-342f-5738-95d6-ae3c3f4a11ae,C_k33,BELONGS_TO_COHORT,1.0
U_06874bd8-c261-57b8-8806-77f301d90b56,C_k42,BELONGS_TO_COHORT,1.0
U_068b4c17-27fc-5cb5-9b11-f0122c0e1738,C_k32,BELONGS_TO_COHORT,1.0
U_068dfe9b-8410-5380-903b-7ed0581e6d73,C_k45,BELONGS_TO_COHORT,1.0
U_068f0800-130f-5488-b591-5452eeba5dbf,C_k41,BELONGS_TO_COHORT,1.0
U_06920d36-78d3-54da-9850-28b84bc3d832,C_k42,BELONGS_TO_COHORT,1.0
U_06a0cc45-9f41-5e52-aec4-f5e8e3389037,C_k39,BELONGS_TO_COHORT,1.0
U_06af987d-18c5-5d77-a818-e5fbf8434c8a,C_k39,BELONGS_TO_COHORT,1.0
U_06c774d7-0f00-5dd2-a5f7-caef5d14af7a,C_k31,BELONGS_TO_COHORT,1.0
U_06e079da-2cf9-5e47-bd37-e77b1cce9a58,C_k44,BELONGS_TO_COHORT,1.0
U_06e67863-aff0-5d71-816d-2426c917ccdb,C_k35,BELONGS_TO_COHORT,1.0
U_06f7c56a-5a06-5345-ab0a-c8b461fbf836,C_k37,BELONGS_TO_COHORT,1.0
U_07138d00-6a58-5657-9a3e-947ced97b680,C_k43,BELONGS_TO_COHORT,1.0
U_0713cd7c-6687-5214-ba17-2a4c3eed09e0,C_k42,BELONGS_TO_COHORT,1.0
U_07190c5e-f6a2-52a1-a839-2120b84dfa46,C_k30,BELONGS_TO_COHORT,1.0
U_072ef90d-20ab-5565-b2ae-1c900a651241,C_k39,BELONGS_TO_COHORT,1.0
U_07390467-e107-5c4e-903a-9e695185e86a,C_k30,BELONGS_TO_COHORT,1.0
U_074a5963-23d6-5ec2-a637-696a924709d9,C_k43,BELONGS_TO_COHORT,1.0
U_0762f98c-d37f-58c6-ad4c-28797d273b0b,C_k33,BELONGS_TO_COHORT,1.0
U_076e44cd-514a-519b-b53d-5e18ecd92e4f,C_k33,BELONGS_TO_COHORT,1.0
U_076fa54d-c810-53c4-8051-f12680cf5cc2,C_k32,BELONGS_TO_COHORT,1.0
U_078121d8-e8fa-5a0a-a3de-7477bb843943,C_k34,BELONGS_TO_COHORT,1.0
U_078b74dd-d7a1-5b24-85e6-7212e8924ad3,C_k43,BELONGS_TO_COHORT,1.0
U_0796818d-d152-59d3-bf13-a1d91e3a7800,C_k31,BELONGS_TO_COHORT,1.0
U_079a425b-7b54-5d7a-aeb7-6d6ceb2c06d2,C_k34,BELONGS_TO_COHORT,1.0
U_07ab382d-678f-5874-97bd-7e753ddbedfd,C_k35,BELONGS_TO_COHORT,1.0
U_07b3b8bc-5824-5a7b-9bde-e423d251ac3c,C_k36,BELONGS_TO_COHORT,1.0
U_07b4936d-f38d-52d7-a1d7-f52be6753afa,C_k39,BELONGS_TO_COHORT,1.0
U_07b78b5c-9085-599d-bd6a-1950ed4cef22,C_k31,BELONGS_TO_COHORT,1.0
U_07d2dd60-c3cb-5914-bb6c-153a8cd8e961,C_k41,BELONGS_TO_COHORT,1.0
U_07d745e5-f0b5-5908-b770-b8914c53aed4,C_k44,BELONGS_TO_COHORT,1.0
U_07db5213-55f5-5be5-b729-831de047725f,C_k37,BELONGS_TO_COHORT,1.0
U_0805e5a4-603f-582a-b997-595f810a23eb,C_k34,BELONGS_TO_COHORT,1.0
U_081fe06e-d112-5afd-b921-5d7f07b57648,C_k35,BELONGS_TO_COHORT,1.0
U_0834c287-01fc-5469-823c-370068305efa,C_k40,BELONGS_TO_COHORT,1.0
U_083dbbad-bfa8-5743-bd2c-9df2262f04dc,C_k40,BELONGS_TO_COHORT,1.0
U_084408ae-9ff2-5820-8e47-d9d171684d49,C_k40,BELONGS_TO_COHORT,1.0
U_0853875b-f442-5b23-bd58-c3d706cb43d5,C_k32,BELONGS_TO_COHORT,1.0
U_0856829c-e862-551c-9efb-db52c6c50e03,C_k43,BELONGS_TO_COHORT,1.0
U_0863fe70-da0b-563e-8727-6bd44911556b,C_k45,BELONGS_TO_COHORT,1.0
U_086f455d-5908-57de-bcdb-2c7f78b5958f,C_k37,BELONGS_TO_COHORT,1.0
U_08750aab-85ce-56e3-b05f-cc011c8b3a0b,C_k41,BELONGS_TO_COHORT,1.0
U_088f9a3b-1506-5aed-9086-6dd5df4f9d6a,C_k33,BELONGS_TO_COHORT,1.0
U_089315d2-9669-5bf7-8d90-849c4e59bab8,C_k40,BELONGS_TO_COHORT,1.0
U_0894fd72-fe81-559e-bb43-7082d4f039c8,C_k32,BELONGS_TO_COHORT,1.0
U_08958ca5-3f72-5911-9f96-86457309822d,C_k40,BELONGS_TO_COHORT,1.0
U_08c986b1-1783-5d62-87b0-086792756752,C_k45,BELONGS_TO_COHORT,1.0
U_08cc8175-ae29-55cb-9540-c6f8bd6b133b,C_k30,BELONGS_TO_COHORT,1.0
U_08dd44ae-e4e6-4f29-b742-9d2490644228,C_k35,BELONGS_TO_COHORT,1.0
U_08f6da47-0df1-5ac6-9e48-2d74c3c8ff96,C_k32,BELONGS_TO_COHORT,1.0
U_0935af96-44a1-506e-b9ad-1053e0711180,C_k38,BELONGS_TO_COHORT,1.0
U_093df883-6e10-5a01-a443-267f4838f474,C_k42,BELONGS_TO_COHORT,1.0
U_0945b133-13dd-59da-b618-1197e0ef89c9,C_k37,BELONGS_TO_COHORT,1.0
U_096fd1df-b0e5-5a0d-af75-a28bfeeaf6fa,C_k35,BELONGS_TO_COHORT,1.0
U_0985939e-5802-5e9a-baeb-717a4dba3d3b,C_k41,BELONGS_TO_COHORT,1.0
U_098a8dfd-9cba-5528-8dab-b6edebd2f29b,C_k30,BELONGS_TO_COHORT,1.0
U_099c1e61-9d95-50e5-ad23-7991208a6722,C_k39,BELONGS_TO_COHORT,1.0
U_09b91d3e-4bed-5ac5-9e38-9f6a42f9b548,C_k44,BELONGS_TO_COHORT,1.0
U_09c3ecf7-1ed3-5562-86e2-130dc2da7dc9,C_k42,BELONGS_TO_COHORT,1.0
U_09cb35cb-bcfa-528d-ab00-ed6c87218d1e,C_k40,BELONGS_TO_COHORT,1.0
U_09d2d97f-970a-525a-a3b5-4353304c3f55,C_k39,BELONGS_TO_COHORT,1.0
U_09db7bd0-0a9d-5689-a082-d83717449d5e,C_k31,BELONGS_TO_COHORT,1.0
U_09e7b276-6d80-5db4-abd8-1eee8aaeced6,C_k42,BELONGS_TO_COHORT,1.0
U_09e7dc03-fb7d-5a3b-bde1-eaff8d8436e9,C_k31,BELONGS_TO_COHORT,1.0
U_0a3abf47-18f7-54af-bb01-0283f930e3bb,C_k31,BELONGS_TO_COHORT,1.0
U_0a435d14-0f51-5099-a626-a40b1a54395e,C_k39,BELONGS_TO_COHORT,1.0
U_0a495bfe-11fa-56c6-910e-03029c8fd8a4,C_k33,BELONGS_TO_COHORT,1.0
U_0a4f2ae9-4299-5b42-94f0-f3c5fabf705c,C_k36,BELONGS_TO_COHORT,1.0
U_0a590778-7fae-5026-bd3a-678abf812306,C_k32,BELONGS_TO_COHORT,1.0
U_0a5c9484-155b-5d9d-acc4-246d4dc205e5,C_k43,BELONGS_TO_COHORT,1.0
U_0a65ae8c-33e5-5efb-999b-d47fff309511,C_k41,BELONGS_TO_COHORT,1.0
U_0a71fde8-d8db-50d3-a7ba-ece2bd375f4c,C_k43,BELONGS_TO_COHORT,1.0
U_0a893c74-34df-5609-8000-434b4268d79d,C_k38,BELONGS_TO_COHORT,1.0
U_0a910b87-b4e2-5a61-9f42-62fc09d21f15,C_k43,BELONGS_TO_COHORT,1.0
U_0aad112e-7c5c-53a6-a5bb-bdc7096e8260,C_k37,BELONGS_TO_COHORT,1.0
U_0aff8742-2509-5ec6-a8d9-865dfb2d9a73,C_k35,BELONGS_TO_COHORT,1.0
U_0b15a6dc-0765-5f8f-bf6e-3a721c3a7870,C_k36,BELONGS_TO_COHORT,1.0
U_0b2e2c67-0bfe-5254-a94c-767c0b6b8e7d,C_k33,BELONGS_TO_COHORT,1.0
U_0b684c6a-a641-5474-bdaf-f5f416cdb017,C_k35,BELONGS_TO_COHORT,1.0
U_0b837f18-e90b-5664-82d3-6b5d3e972b47,C_k30,BELONGS_TO_COHORT,1.0
U_0b8a0e0c-f670-5b4c-bbce-4e7b955ebf9c,C_k45,BELONGS_TO_COHORT,1.0
U_0b8eb64e-43a9-5bab-bdc0-672b242a16de,C_k39,BELONGS_TO_COHORT,1.0
U_0b948d87-c617-54a0-9d2d-8a9e57e847a3,C_k30,BELONGS_TO_COHORT,1.0
U_0baae4f7-3541-540a-9f91-b364dc800bf7,C_k38,BELONGS_TO_COHORT,1.0
U_0bae6caf-09fe-5f35-a97c-952daea957da,C_k35,BELONGS_TO_COHORT,1.0
U_0bbb396d-4dee-5b09-baa1-1117873ea5b4,C_k45,BELONGS_TO_COHORT,1.0
U_0bc17ce5-868a-5c51-a3ad-2798b06e2598,C_k36,BELONGS_TO_COHORT,1.0
U_0c0116af-da64-57c4-8fd5-1156a2f83fb9,C_k42,BELONGS_TO_COHORT,1.0
U_0c21ba44-fb35-5c97-98f8-acedf2f9f0bf,C_k39,BELONGS_TO_COHORT,1.0
U_0c340eb7-a861-5ff6-a074-99beed795b08,C_k41,BELONGS_TO_COHORT,1.0
U_0c408262-4e83-5b3d-ba20-88802ae76459,C_k42,BELONGS_TO_COHORT,1.0
U_0c641273-4f77-5b17-bbcd-7f83e9c1fe2c,C_k45,BELONGS_TO_COHORT,1.0
U_0c64c55f-44be-5c69-8bb9-89d999a23bb0,C_k44,BELONGS_TO_COHORT,1.0
U_0c680b2c-874d-5081-978c-b90ad64c61d4,C_k35,BELONGS_TO_COHORT,1.0
U_0c6c3c14-8497-509b-a264-3bfeae3b76f4,C_k39,BELONGS_TO_COHORT,1.0
U_0c817a24-f3ac-5b7d-8893-3f0b2c55c01d,C_k40,BELONGS_TO_COHORT,1.0
U_0c8d9daa-1cf0-4f6d-a714-27e073a88726,C_k44,BELONGS_TO_COHORT,1.0
U_0cac2c65-d2a7-56a7-88da-62c58bccbb1f,C_k35,BELONGS_TO_COHORT,1.0
U_0cdf72e2-8ebb-5831-af18-091f523286aa,C_k36,BELONGS_TO_COHORT,1.0
U_0cf6b67c-9177-550d-9242-8e9ed643f3fc,C_k31,BELONGS_TO_COHORT,1.0
U_0d0cb855-a670-52bc-abda-e47cc7f6b077,C_k31,BELONGS_TO_COHORT,1.0
U_0d10a1e6-5340-5f84-af51-45047f65029b,C_k39,BELONGS_TO_COHORT,1.0
U_0d1f4ba2-7a5d-588f-b131-d7ae4edbd7b1,C_k44,BELONGS_TO_COHORT,1.0
U_0d26879a-239e-5333-b244-1413600c0401,C_k32,BELONGS_TO_COHORT,1.0
U_0d2b2313-927f-5a22-a419-da68daf88fbe,C_k40,BELONGS_TO_COHORT,1.0
U_0d5d4a9a-4a98-51e9-8f1a-42959ee1c1c0,C_k42,BELONGS_TO_COHORT,1.0
U_0d6762fd-1919-52e6-a6f9-bc60a13a6e24,C_k40,BELONGS_TO_COHORT,1.0
U_0d9080fe-25fd-5949-a91a-05ef18624096,C_k39,BELONGS_TO_COHORT,1.0
U_0dabeacc-5b8e-5527-8f17-a5cd5ffbec3c,C_k35,BELONGS_TO_COHORT,1.0
U_0dadabc5-c3bd-5c9e-ab1d-3b022280eac0,C_k43,BELONGS_TO_COHORT,1.0
U_0dd5dbc0-53af-5b68-8ebe-e845725836de,C_k37,BELONGS_TO_COHORT,1.0
U_0ddc5d53-70c2-5890-9a85-550436b949f3,C_k34,BELONGS_TO_COHORT,1.0
U_0de09206-9ada-56cd-9943-70ce1f06f3ce,C_k40,BELONGS_TO_COHORT,1.0
U_0e09402c-bffd-5c5a-908f-6396e206affa,C_k42,BELONGS_TO_COHORT,1.0
U_0e0be729-386d-5f20-b060-0818c01c56d9,C_k35,BELONGS_TO_COHORT,1.0
U_0e2e7a58-fb75-5704-bb3e-02ed22940882,C_k36,BELONGS_TO_COHORT,1.0
U_0e383e9c-2bf1-5ff9-ac55-29c94b51341d,C_k35,BELONGS_TO_COHORT,1.0
U_0e476cbf-4d7c-5549-a816-de5c0f941b09,C_k43,BELONGS_TO_COHORT,1.0
U_0e5011a6-188a-5afe-91fa-dde44a992ac0,C_k44,BELONGS_TO_COHORT,1.0
U_0e512aad-d0c1-5c25-bea9-f97903fa5254,C_k33,BELONGS_TO_COHORT,1.0
U_0e5d017d-defe-51dc-9ea6-c2cfabbce632,C_k43,BELONGS_TO_COHORT,1.0
U_0e602cee-bca6-5079-a92c-3c6725262d89,C_k32,BELONGS_TO_COHORT,1.0
U_0e621f3d-ce35-5cca-9beb-3e617d6b677d,C_k34,BELONGS_TO_COHORT,1.0
U_0e83b231-ea09-57e1-9e4e-4b9e4e1b16df,C_k34,BELONGS_TO_COHORT,1.0
U_0e88376f-5351-51ad-9c04-e2465a8b0794,C_k38,BELONGS_TO_COHORT,1.0
U_0e8feb77-5b42-5284-8817-92e671dfe249,C_k43,BELONGS_TO_COHORT,1.0
U_0e9369dc-698d-5f8b-ad66-7697be25512e,C_k39,BELONGS_TO_COHORT,1.0
U_0e9f13ee-aa6a-53cd-97f8-343f6109549c,C_k32,BELONGS_TO_COHORT,1.0
U_0ec72a68-0265-53c3-998a-eea373cd91d6,C_k32,BELONGS_TO_COHORT,1.0
U_0ee5bba7-6bb2-5e8d-9efd-75a3a3bf1dd9,C_k30,BELONGS_TO_COHORT,1.0
U_0f00e082-9ad9-5332-a735-d5d80fd9c60b,C_k35,BELONGS_TO_COHORT,1.0
U_0f0d7fe5-ccd7-53f2-b789-ce3afa4468cf,C_k41,BELONGS_TO_COHORT,1.0
U_0f1661b7-3829-5ce0-b671-73e70d6f6833,C_k33,BELONGS_TO_COHORT,1.0
U_0f22e505-0e62-5f52-b8e4-c294821541f9,C_k44,BELONGS_TO_COHORT,1.0
U_0f23a0b0-6648-5023-9932-6078f9a6f681,C_k38,BELONGS_TO_COHORT,1.0
U_0f30964b-b979-5ab1-bafc-55f694de56de,C_k33,BELONGS_TO_COHORT,1.0
U_0f39c706-cbba-58a6-a94f-16fd2812f36e,C_k31,BELONGS_TO_COHORT,1.0
U_0f3c41b3-2e4f-51af-91c3-d32f8e459c3b,C_k37,BELONGS_TO_COHORT,1.0
U_0f735a23-218a-5de2-a81e-0e392630db2e,C_k44,BELONGS_TO_COHORT,1.0
U_0f7ab80b-72c0-5161-8301-b56554aa3d12,C_k33,BELONGS_TO_COHORT,1.0
U_0f7bfb36-d119-5a9c-be67-ce490d68e3d4,C_k35,BELONGS_TO_COHORT,1.0
U_0f7d153d-10a8-5e81-8d79-2198f62d2976,C_k34,BELONGS_TO_COHORT,1.0
U_0fb98195-61b9-5b58-9559-4f9a6d23f857,C_k36,BELONGS_TO_COHORT,1.0
U_0fbc1524-5c2c-5433-ae30-d8f220d98ed6,C_k37,BELONGS_TO_COHORT,1.0
U_0fc6cf7e-fd9e-566c-970e-4c7590b27dc6,C_k40,BELONGS_TO_COHORT,1.0
U_0fcb2414-18e2-5dca-b1a0-d66c6fa8fc96,C_k44,BELONGS_TO_COHORT,1.0
U_0fde16d8-477d-589b-9845-9e5b5e6eda84,C_k34,BELONGS_TO_COHORT,1.0
U_0fe794da-b63c-5a54-ab5a-d1c2fbdf41d6,C_k34,BELONGS_TO_COHORT,1.0
U_0ff5348e-8a4c-5b61-8e1a-9800d23f14c2,C_k35,BELONGS_TO_COHORT,1.0
U_0ff915d9-3ba5-59bb-9e52-699ae8ded2d1,C_k39,BELONGS_TO_COHORT,1.0
U_100dcd74-3a79-5e7f-bf54-acae9d85db97,C_k32,BELONGS_TO_COHORT,1.0
U_1012f2d3-a8a5-5eca-80c2-a4bbcf5fed9b,C_k41,BELONGS_TO_COHORT,1.0
U_1056b237-9f1f-566b-a7e5-01bfeca0b898,C_k43,BELONGS_TO_COHORT,1.0
U_105b9877-e7ee-5707-b082-97761f0baa1c,C_k43,BELONGS_TO_COHORT,1.0
U_1068b6fe-ee16-5bc3-a768-b7bd500a501a,C_k37,BELONGS_TO_COHORT,1.0
U_1076f5ba-8bbb-5bfc-8eeb-e6904eaa029a,C_k44,BELONGS_TO_COHORT,1.0
U_1092d6eb-fa77-54fa-93ab-2a681ba87a86,C_k39,BELONGS_TO_COHORT,1.0
U_109d4293-da2b-530b-9384-0ae400c7e9ee,C_k38,BELONGS_TO_COHORT,1.0
U_10a9a9ad-2e77-58d4-ac2d-bab0116d7866,C_k45,BELONGS_TO_COHORT,1.0
U_10b20eaa-f456-5cfa-a5e0-1a736bee08ab,C_k43,BELONGS_TO_COHORT,1.0
U_10dee4d5-ebd4-57d5-ade6-edf0b8a34c3a,C_k43,BELONGS_TO_COHORT,1.0
U_10e52331-7faa-579b-93ad-45b5053897a8,C_k43,BELONGS_TO_COHORT,1.0
U_10ef35ba-b4c2-5698-8259-224ccd4e6168,C_k43,BELONGS_TO_COHORT,1.0
U_10f0285f-fb75-5af6-808a-33b13c2f9f18,C_k35,BELONGS_TO_COHORT,1.0
U_10f270b5-523a-5135-a4c0-32920a43d55d,C_k33,BELONGS_TO_COHORT,1.0
U_114326e8-60a7-5f30-a8e2-772fcacd62f0,C_k38,BELONGS_TO_COHORT,1.0
U_1159b395-4461-5aca-b0fe-d08b5bfba5fc,C_k34,BELONGS_TO_COHORT,1.0
U_115d65a6-d96b-5fed-a9c5-a237892ef3c7,C_k37,BELONGS_TO_COHORT,1.0
U_1168d8cd-de2e-58a2-9637-361d86bb1ad7,C_k36,BELONGS_TO_COHORT,1.0
U_11702c9c-4555-52a0-9f06-7f0e54499122,C_k31,BELONGS_TO_COHORT,1.0
U_1190a859-487f-5790-ba52-f903b43de5fa,C_k43,BELONGS_TO_COHORT,1.0
